Achira (Canna, Arrowroot) | Scientific Names: Canna edulis | Family: Cannaceae
Banana Squash () | Scientific Names: Cucurbita maxima var. banana | Family: Cucurbitaceae
Barberton Daisy (Transvaal Daisy, African Daisy, Veldt Daisy, Gerbera Daisy) | Scientific Names: Gerbera jamesonii | Family: Compositae
Beets (Beet Root, Red Beet, Swiss Chard, Roman Kale, Sugar Beet) | Scientific Names: Beta vulgaris | Family: Chenopodiaceae
Begonia, Climbing (Rex Begonia) | Scientific Names: Cissus dicolor | Family: Vitaceae
Begonia, Trailing (Trailing Watermelon Begonia) | Scientific Names: Pellionia daveauana | Family: Urticaceae
Belmore Sentry Palm (Curly Palm) | Scientific Names: Howea belmoreana | Family: Palmae
Big Shagbark Hickory (Big Shellbark Hickory, Shellbark Hickory, Shagbark Hickory) | Scientific Names: Carya laciniosa | Family: Juglandaceae
Big Shellbark Hickory (Shellbark Hickory) | Scientific Names: Carya laciniosa | Family: Juglandaceae
Bitter Pecan (Water Hickory) | Scientific Names: Carya aquatica | Family: Juglandaceae
Bitternut () | Scientific Names: Carya cordiformis | Family: Juglandaceae
Black Haw (Wild Raisin, Tea Plant, Cowberry, Nannyberry, Sweet Viburnum, Nanny Plum, Sheepberry, Sweetberry) | Scientific Names: Viburnum lentago | Family: Caprifoliaceae
Black Hawthorn (Weisdornbluten, Blackthorn, Thorn Apple, Thorn Plum, Pirliteiro, Red Hawthorn, May Bush, Oxyacantha, Haw Apple, Black Haw, Aubepine) | Scientific Names: Crataegus douglasii | Family: Rosaceae
Black Walnut () | Scientific Names: Juglans nigra | Family: Juglandaceae
Blaspheme Vine (Blaspheme vine, Laurel-leaved Greenbrier, Bamboo Vine) | Scientific Names: Smilax laurifolia | Family: Liliaceae
Bloodleaf (Chicken Gizzard, Yellow Bloodleaf, Joseph's Coat) | Scientific Names: Iresine herbstii | Family: Amaranthaceae
Blooming Sally (Willow Herb, Great Willow Herb, Fire Weed) | Scientific Names: Epilobium angustifolium | Family: Onagraceae
Blue Bead (Corn Lily) | Scientific Names: Clintonia borealis | Family: Liliaceae
Blue Daisy (Felicia, Blue Marguerite) | Scientific Names: Felicia amelloides | Family: Compositae
Blue Echeveria (Maroon Chenille Plant, Painted Lady, Copper Rose, Wax Rosette, Plush Plant) | Scientific Names: Echeveria derenbergii | Family: Crassulaceae
Blue Eyed Daisy (Blue-eyed African Daisy) | Scientific Names: Arctotis stoechadifolia | Family: Compositae
Blue-dicks (Wild Hyacinth) | Scientific Names: Dichelostemma pulchellum | Family: Amaryllidaceae
Blue-dicks 2 (Wild Hyacinth) | Scientific Names: Hookera pulchella | Family: Amaryllidaceae
Blue-dicks 3 (Wild Hyacinth) | Scientific Names: Brodiaea pulchella | Family: Amaryllidaceae
Blue-eyed African Daisy (Blue-eyed Daisy) | Scientific Names: Arctotis stoechadifolia | Family: Compositae
Bluebottle (Cornflower, Bachelors Buttons) | Scientific Names: Centaurea cyanus | Family: Asteraceae
Blunt Leaf Peperomia (Pepper Face, Baby Rubber Plant, American Rubber Plant) | Scientific Names: Peperomia obtusifolia | Family: Pipericeae
Blushing Bromeliad (Crimson cup, Marbled fingernail, Blushing Bromeliad, Ossifragi Vase, Miniature Marble plant, Aregelia) | Scientific Names: Neoregalia spp. | Family: Bromiliaceae
Bold Sword Fern () | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Boston Fern () | Scientific Names: Nephrolepis exalta bostoniensis | Family: Dryopteridaceae
Bottle Palm (Elephant-foot Tree, Pony Tail Plant) | Scientific Names: Beaucarnea recurvata | Family: Agavaceae
Bottle Palm 2 (Elephant-foot Tree, Pony Tail Plant) | Scientific Names: Nolina tuberculata | Family: Agavaceae
Bottlebrush (Weeping Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush) | Scientific Names: Callistemon species | Family: Myrtaceae
Brazilian Orchid () | Scientific Names: Sophronitis | Family: Orchidaceae
Bride's Bonnet (Queencup) | Scientific Names: Clintonia uniflora | Family: Liliaceae
Bristly Greenbrier (Hagbrier, Hellfetter) | Scientific Names: Smilax hispida | Family: Liliaceae
Brodiaea Pulchella (Wild Hyacinth, Blue-dicks) | Scientific Names: Dichelostemma pulchellum | Family: Amaryllidaceae
Broom Hickory (Big Shellbark Hickory, Shellbark Hickory) | Scientific Names: Carya laciniosa | Family: Juglandaceae
Bullbrier (Catbrier, Horsebrier, Common Greenbrier) | Scientific Names: Smilax rotundifolia | Family: Liliaceae
Bur Gourd (Goareberry Gourd, Gooseberry Gourd, West Indian Gherkin) | Scientific Names: Cucumis anguria | Family: Cucurbitaceae
Burro's Tail (Horse's Tail, Donkey's Tail, Lamb's Tail) | Scientific Names: Sedum morganianum | Family: Crassulaceae
Buttercup Squash () | Scientific Names: Cucurbita maxima cv buttercup | Family: Cucurbitaceae
Butterfly Ginger (White Ginger, Cinnamon Jasmine, Garland Flower, Ginger Lily) | Scientific Names: Hedychium coronarium | Family:
Butterfly Iris (Spuria Iris, Iris) | Scientific Names: Iris spruria | Family: Iridaceae
Butterfly Squash () | Scientific Names: Cucurbita maxima cv butterfly | Family: Cucurbitaceae
Buzzy Lizzie (Giant Touch-Me-Not, Impatience Plant, Patient Lucy, Patient Plant, Tangerine Impatience) | Scientific Names: Impatiens spp. | Family: Balsaminaceae
Caeroba (Rattle Snake Plant, Peacock Plant, Zebra Plant) | Scientific Names: Calathea insignis | Family: Marantaceae
Calathea Lancifolia () | Scientific Names: Calathea lancifolia | Family: Marantaceae
Calathea Lancifolia 2 () | Scientific Names: Maranta insignis | Family: Marantaceae
Calathea Lancifolia 3 () | Scientific Names: Calathea insignis | Family: Marantaceae
California Pitcher Plant (Cobra Orchid, Cobra Plant, Cobra Lily, Chrysamphora) | Scientific Names: Darlingtonia californica | Family: Sarraceniaceae
Callistemon Brachyandrus (Weeping Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush, Bottlebrush, Callistemon brachyandrus) | Scientific Names: Callistemon species | Family: Myrtaceae
Callistemon citrinus (Crimson Bottlebrush) | Scientific Names: Callistemon citrinus | Family: Myrtaceae
Callistemon viminalis (Weeping Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush) | Scientific Names: Callistemon viminalis | Family: Myrtaceae
Calochortus nuttalli (Sego Lily, Star Tulip, Mariposa Lily, Cat Ear, Butterfly Tulip) | Scientific Names: Calochortus nuttalli | Family: Liliaceae
Calochortus nuttalli 2 (Sego Lily, Star Tulip, Mariposa Lily, Cat Ear, Butterfly Tulip) | Scientific Names: Calochortus luteus | Family: Liliaceae
Camellia (Common Camellia, Peony Camellia) | Scientific Names: Camellia japonica | Family: Theaceae
Canada Hemlock () | Scientific Names: Tsuga canadensis | Family: Pinaceae
Canary Date Palm () | Scientific Names: Phoenix canariensis | Family: Palmae
Candle Plant () | Scientific Names: Plectranthus coleoides | Family: Labiatae
Candycorn Plant () | Scientific Names: Hypocyrta nummularia | Family: Gesneriaceae
Cane Palm (Golden Butterfly Palm, Areca Palm, Golden Feather Palm, Yellow Palm) | Scientific Names: Dypsis lutescens, chrysalidocarpus lutescens (alternate scientific name) | Family: Palmae
Canna Lily (Common Garden Canna) | Scientific Names: Canna generalis | Family: Cannaceae
Canterbury-bell () | Scientific Names: Gloxinia perennis | Family: Gesneriaceae
Cape Marigold (African Daisy) | Scientific Names: Dimorphotheca pluvialis | Family: Compositae
Cape Primrose (Twisted Fruit, Bavarian Belle) | Scientific Names: Streptocarpus spp. | Family: Gesneriaceae
Carob (Sugar Pod, Locust Pods, Algaroba, Carob Tree Kharoub, Beans) | Scientific Names: Ceratonia siliqua | Family: Fabaceae
Caroba (Caaroba, Carob Tree, Carobhina, Bignonia) | Scientific Names: Jacaranda procera | Family: Bignoniaceae
Carolina Hemlock () | Scientific Names: Tsuga caroliniana | Family: Pinaceae
Carrion Flower (Jacob's Ladder) | Scientific Names: Smilax herbacea | Family: Liliaceae
Carrion Flower 2 (Hairy Toad Plant) | Scientific Names: Stapelia hirsata | Family: Asclepiadaceae
Carrot Fern () | Scientific Names: Onychium japonica | Family: Polypodiaceae
Carrot Flower (Garden Carrot) | Scientific Names: Daucus carota var. sativa | Family: Umbelliferae
Casaba Melon (Honeydew Melon, True Cantaloupe, Muskmelon) | Scientific Names: Cucumis melo | Family: Cucurbitaceae
Cast Iron Plant (Bar Room Plant, Iron Plant, Variegated Cast Iron Plant) | Scientific Names: Aspidistra elatior | Family: Liliaceae
Cat Brier (China Root, Ti-hu-ling, Shiny Leaf Smilax) | Scientific Names: Smilax glabra | Family: Liliaceae
Cat Ear (Sego Lily, Star Tulip, Mariposa Lily, Cat Ear, Butterfly Tulip, Calochortus) | Scientific Names: Calochortus nuttalli; Calochortus luteus | Family: Liliaceae
Cattleya Labiata (Crimson Cattleya, Ruby-lipped Cattleya) | Scientific Names: Cattleya labiata | Family: Orchidaceae
Celosia Globosa (Globe Amarantha, Perpetua) | Scientific Names: Celosia globosa | Family: Amaranthaceae
Celosia Plumosa (Cockscomb) | Scientific Names: Celosia plumosa | Family: Amaranthaceae
Celosia Spicata (Flamingo Feather) | Scientific Names: Celosia spicata | Family: Amaranthaceae
Chamaedorea (Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm) | Scientific Names: Chamaedorea elegans | Family: Palmae
Chaparral (Creosote Bush, Greasewood) | Scientific Names: Larrea tridentata | Family: Zygophyllaceae
Chenille Plant (Philippine Medusa, Foxtail, Red-hot Cat Tail) | Scientific Names: Acalypha hispida | Family: Euphorbiaceae
Chestnut (American Chestnut) | Scientific Names: Castanea dentata | Family: Fagaceae
Chicken-Gizzard (Joseph's Coat, Bloodleaf Plant) | Scientific Names: Iresine herbstii | Family: Amaranthaceae
Chickens and Hens (Hens and Chickens, Mother Hens and Chicks) | Scientific Names: Echeveria elegans | Family: Crassulaceae
Chin-lao-shu (China Root, Ti-hu-ling, Shiny Leaf Smilax, Catbrier) | Scientific Names: Smilax glabra | Family: Liliaceae
China Aster (Annual Aster, Aster Sinensis) | Scientific Names: Callistephus chinensis | Family: Compositae
China Root (Catbrier, Ti-hu-ling, Shiny Leaf Smilax) | Scientific Names: Smilax glabra | Family: Liliaceae
Chinese Plumbago () | Scientific Names: Ceratostigma willmottianum | Family: Plumbaginaceae
Chlorophytum (Ribbon Plant, Spider Ivy, Spider Plant) | Scientific Names: Anthericum comosum | Family: Liliaceae
Chlorophytum bichetti (Saint Bernard's Lily) | Scientific Names: Chlorophytum bichetti | Family: Liliaceae
Chocolate Soldier (Lace-Flower Vine, Episcia) | Scientific Names: Episcia dianthiflora | Family: Gesneriaceae
Christmas Cactus (Easter Cactus) | Scientific Names: Schlumbergera bridgesii | Family: Cactaceae
Christmas Dagger (Christmas Dagger Fern) | Scientific Names: Polystichum acrostichoides | Family: Dryopteridaceae
Christmas Orchid (Winter Cattleya) | Scientific Names: Cattleya trianaei | Family: Orchidaceae
Christmas Palm (Dwarf Royal Palm, Manila Palm) | Scientific Names: Veitchia merrillii | Family: Arecaceae
Cinnamon () | Scientific Names: Cinnamonium | Family: Lauraceae
Cinquefoil (Silver Cinquefoil, Shrubby Cinquefoil, Rough Cinquefoil, Sulfur Cinquefoil, Rock Cinquefoil) | Scientific Names: Potentilla spp. | Family: Rosaceae
Cirrhopetalum (Old World Orchid) | Scientific Names: Bulbophyllum appendiculatum | Family: Orchidaceae
Clearweed (Coolwort, Richweed) | Scientific Names: Pilea pumila | Family: Urticaceae
Cliff Brake (Button Fern, Green Cliff Brack, Cliff Break) | Scientific Names: Pellaea rotundifolia | Family: Pteridaceae
Club Moss (Cushion Moss, Irish Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss) | Scientific Names: Selaginella kraussiana | Family: Selaginellaceae
Cocks Comb (Pile Wort, Lady Bleeding, Red Cocks Comb) | Scientific Names: Amaranthus hypochondriacus | Family: Amaranthaceae
Cocktail Orchid () | Scientific Names: Cattleya forbesii | Family: Orchidaceae
Collinia Elegans (Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm) | Scientific Names: Chamaedorea elegans | Family: Palmae
Common Camellia (Camellia, Peony Camellia) | Scientific Names: Camellia japonica; Thea japonica | Family: Theaceae
Common Catbrier (Catbrier, Horsebrier, Common Greenbrier) | Scientific Names: Smilax rotundifolia | Family: Liliaceae
Common Garden Canna (Common Garden Canna) | Scientific Names: Canna generalis | Family: Cannaceae
Common Greenbrier (Catbrier, Horsebrier, Common Greenbrier) | Scientific Names: Smilax rotundifolia | Family: Liliaceae
Common Snapdragon (Garden Snapdragon) | Scientific Names: Antirrhinum majus | Family: Scrophulariaceae
Common Staghorn Fern () | Scientific Names: Platycerium bifurcatum | Family: Polypodiaceae
Confederate Jasmine (Star Jasmine) | Scientific Names: Trachelospermum jasminoides | Family:
Coolwort (Clearweed, Richweed) | Scientific Names: Pilea pumila | Family: Urticaceae
Copper Rose () | Scientific Names: Echeveria multicaulis | Family: Crassulaceae
Copperleaf (Lance Copperleaf) | Scientific Names: Acalypha godseffiana | Family: Euphorbiaceae
Coral Bells (Coral Bells, Heuchera) | Scientific Names: Heuchera sanguinea | Family: Saxifragaceae
Coreopsis (Tickseed) | Scientific Names: Coreopsis | Family: Compositae
Cornflower (Bachelor's Buttons, Bluebottle) | Scientific Names: Centaurea cyanus | Family: Asteraceae
Crape Myrtle (Crepe Myrtle) | Scientific Names: Lagerstroemia indica | Family: Lythraceae
Creeping Charlie (Swedish Ivy (Plectranthus)) | Scientific Names: Pilea nummulariifolia | Family: Pilea: Uriticaeae; Plectranthus: Lamiaceae
Creeping Gloxinia (Maurandya) | Scientific Names: Asarina erubescens | Family: Scrophulariaceae
Creeping Mahonia (Tall Mahonia, Mountain Grape, Oregon Grape, Oregon Holly, Holly-leaved Barberry) | Scientific Names: Mahonia aquifolium | Family: Berberidaceae
Creeping Pilea (Swedish Ivy (Plectranthus), Creeping Charlie) | Scientific Names: Pilea nummulariifolia | Family: Pilea: Uriticaeae; Plectranthus: Lamiaceae
Creeping Rubus (Strawberryleaf Raspberry) | Scientific Names: Rubus pedatus | Family: Rosaceae
Creeping Zinnia () | Scientific Names: Sanvitalia species | Family: Asteraceae
Crepe Myrtle (Crape Myrtle) | Scientific Names: Lagerstroemia indica | Family: Lythraceae
Crimson Bottlebush (Weeping Bottlebrush, Prickly Bottlebrush, Bottlebrush) | Scientific Names: Callistemon species | Family: Myrtaceae
Crimson Cup (Marbled fingernail,Blushing bromeliad, Ossifragi Vase, Miniature Marble plant, Aregelia) | Scientific Names: Neoregalia spp. | Family: Bromiliaceae
Crisped Feather Fern (Bold-Sword Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Crossandra () | Scientific Names: Crossandra species | Family: Acanthaceae
Cucumber (Garden Cucumber) | Scientific Names: Cucumis sativa | Family: Cucurbitaceae
Cushion Moss (Club Moss, Irish Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss) | Scientific Names: Selaginella kraussiana | Family: Selaginellaceae
Cushon Aloe () | Scientific Names: Aloe retusa | Family: Aloaceae
Cyrtudeira (Flame African Violet, Frosty, Flame, Moss agate, Lady Lou, Red African Violet, Acajou) | Scientific Names: Episcia reptans | Family: Gesneriaceae
Dainty Rabbits-Foot Fern (Lacy Paw, Lacy Hare's Foot) | Scientific Names: Davallia fejeensis | Family: Davalliaceae
Dallas Fern (Bold Sword Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Dancing Doll Orchid () | Scientific Names: Oncidium flexuosum | Family: Orchidaceae
Desert Trumpet () | Scientific Names: Eriogonium inflatum | Family: Polygonaceae
Dichelostemma (Several varieties) | Scientific Names: Dichelostemma species | Family: Amaryllidaceae
Dichorisandra Reginae (Queen's Spiderwort) | Scientific Names: Dichorisandra reginae | Family: Commelinaceae
Dinteranthus Vanzylii () | Scientific Names: Dinteranthus | Family: Aizoaceae
Duffii Fern (Duffy Fern, Lemon Button Fern) | Scientific Names: Nephrolepsis cordifolia 'duffii' | Family: Nephrolepidaceae
Dwarf Date Palm () | Scientific Names: Phoenix acaulis | Family: Palmae
Dwarf Feather Palm () | Scientific Names: Nephrolepis exaltata | Family: Nephrolepidaceae
Dwarf Palm (Good Luck palm, Parlor palm) | Scientific Names: Chamaedorea elegans | Family: Palmae
Dwarf Rose-Stripe Star () | Scientific Names: Cryptanthus bivattus minor | Family: Bromelaceae
Dwarf Royal Palm () | Scientific Names: Veitchia merillii | Family: Arecaceae
Dwarf Whitman Fern () | Scientific Names: Nephrolepsis cordifolia plumosa | Family: Nephrolepidaceae
Earth Star (Starfish plant, Green earth star, Vary-leaf star) | Scientific Names: Cryptanthus bivattus minor | Family: Bromeliaceae
Easter Cattleya (Easter Orchid) | Scientific Names: Cattleya mossiae | Family: Orchidaceae
Easter Daisy () | Scientific Names: Townsendia sevicea | Family: Asteraceae
Easter Lily Cactus () | Scientific Names: Echinopsis multiplex | Family: Cactaceae
Easter Orchid (Easter Cattleya) | Scientific Names: Cattleya mossiae | Family: Orchidaceae
Edible Banana () | Scientific Names: Musa acuminata | Family: Musaceae
Elephant-Ear Begonia () | Scientific Names: Begonia scharfii | Family: Begoniaceae
Emerald Ripple Peperomia (Green ripple peperomia, Little fantasy peperpmia) | Scientific Names: Peperomia caperata | Family: Piperaceae
English Hawthorn (Midland hawthorn, Smooth hawthorn) | Scientific Names: Crataegus laevigata | Family: Rosaceae
Episcia (Lace-Flower Vine, Chocolate Soldier) | Scientific Names: Episcia dianthiflora | Family: Gesneriaceae
Fairy Fountain (Feathered Amaranth, Woolflower) | Scientific Names: Celosia cristata | Family: Amaranthaeceae
False Aralia () | Scientific Names: Dizygotheca elegantissima | Family: Araliaceae
Fan Tufted Palm (Lady Palm) | Scientific Names: Rhapis flabelliformis | Family: Araceae
Feather Palm () | Scientific Names: Nephrolepis exaltata | Family: Nephrolepidaceae
Fiery Reed Orchid () | Scientific Names: Epidendrum ibaguense | Family: Orchidaceae
Fig Leaf Gourd (Malabar Gourd) | Scientific Names: Cucurbita ficifolia | Family: Cucurbitaceae
Figleaf Palm (Formosa rice tree, Glossy-leaved paper plant, Big-leaf paper plant) | Scientific Names: Fatsia japonica | Family: Araliaceae
Fingernail Plant () | Scientific Names: Neoregelia spectabilis | Family: Bromeliaceae
Fire Weed (Blooming Sally, Great Willow-Herb) | Scientific Names: Epilobium angustifolium | Family: Onagraceae
Fish Tail Fern () | Scientific Names: Cyrtomium falcatum | Family: Polypodaceae
Flame African Violet (Flame violet, Red violet) | Scientific Names: Episcia reptans | Family: Gesneriaceae
Flame of the Woods (Maui sunset) | Scientific Names: Ixora coccinea | Family: Rubiaceae
Flamingo Plant (Polka Dot Plant, Measles Plant, Baby’s Tears, Freckle Face) | Scientific Names: Hypoestes phyllostachya | Family: Acanthaceae
Florida Butterfly Orchid (Scarlet Orchid) | Scientific Names: Epidendrum tampense | Family: Orchidaceae
Florida Butterfly Orchid (Butterfly orchid) | Scientific Names: Encyclia tampensis | Family: Orchidaceae
Fluffy Ruffles () | Scientific Names: Nephrolepsis exalta | Family:
Forster Sentry Palm (Kentia palm) | Scientific Names: Howea forsteriana | Family: Howea forsteriana
Fortunes Palm (Chusan palm) | Scientific Names: Trachycarpus fortunei | Family: Palmae
Freckle Face (Polka Dot Plant, Measles Plant, Flamingo Plant, Baby’s Tears) | Scientific Names: Hypoestes phyllostachya | Family: Acanthaceae
Friendship Plant () | Scientific Names: Pilea involucrata | Family: Pilaceae
Garden Marigold (Marigold, Mary Bud, Gold bloom, Pot marigold) | Scientific Names: Calendula officinalis | Family: Compositae
Garden Snapdragon () | Scientific Names: Antirrhinum majus | Family: Scrophulariaceae
Gerber Daisy (Transvaal Daisy, African Daisy, Veldt Daisy, Gerbera Daisy, Barberton Daisy) | Scientific Names: Gerbera jamesonii | Family: Compositae
German Violet (Arabian gentian, Persian violet) | Scientific Names: Exacum affine | Family: Gentianaceae
Gherkins (Immature cucumbers) | Scientific Names: Cucumis sativus | Family: Cucurbitaceae
Ghost Leafless Orchid (Leafless ghost orchid) | Scientific Names: Polyrrhiza lindenii | Family: Orchidaceae
Ghost Plant (Mother of pearl plant) | Scientific Names: Secum weinbergii | Family: Crassulaceae
Giant Aster () | Scientific Names: Townsendia sericea | Family: Asteraceae
Giant Holly Fern (Sword fern, Wester sword, imbricate sword fern) | Scientific Names: Ploystichum munitum | Family: Polypodaceae
Giant Touch-Me-Not (Buzzy Lizzie, Impatience Plant, Patient Lucy, Patient Plant, Tangerine Impatience) | Scientific Names: Impatiens spp. | Family: Balsaminaceae
Giant White Inch Plant () | Scientific Names: Albiflora | Family: Commelinaceae
Gibasis Geniculata (Tahitian bridal veil) | Scientific Names: Tradescantia multiflora | Family: Commelinaceae
Globe Thistle () | Scientific Names: Echinops | Family: Asteraceae
Gloxinia () | Scientific Names: Sinningia speciosa | Family: Gesneriaceae
Gold Bloom (Marigold, Mary Bud, Garden Marigold, Pot Marigold) | Scientific Names: Calendula officinalis | Family: Compositae
Gold-Fish Plant (Candy Corn Plant) | Scientific Names: Hypocyrta nummularia | Family: Gesneriaceae
Golden Bells (Forsythia) | Scientific Names: Oleaceae | Family:
Golden Butterfly Palm (Areca Palm, Cane Palm, Golden Feather Palm, Yellow Palm) | Scientific Names: Dypsis lutescens | Family: Palmae
Golden Lace Orchid (Jewel Orchid) | Scientific Names: Haemaria discolor | Family: Orchidaceae
Golden Shower Orchid () | Scientific Names: Oncidium sphacelatum | Family: Orchidaceae
Good Luck Palm (Dwarf Palm, Parlor Palm) | Scientific Names: Chamaedorea elegans | Family: Palmae
Grape Hyacinth () | Scientific Names: Muscari armeniacum | Family: Liliaceae
Grape Ivy (Venezuela treebine) | Scientific Names: Cissus rhombifolia | Family: Vitaceae
Great Willow Herb (Blooming Sally, Fire Weed) | Scientific Names: Epilobium angustifolium | Family: Onagraceae
Green Ripple Peperomia (Emerald Ripple Peperomia, Little Fantasy Peperpmia) | Scientific Names: Peperomia caperata | Family: Piperaceae
Greenbrier (China Root, Ti-hu-ling, Shiny Leaf Smilax, cat brier) | Scientific Names: Smilax glabra | Family: Liliaceae
Hagbrier (Hellfetter) | Scientific Names: Smilax hispida | Family: Liliaceae
Hardy Baby Tears (Stonecrop) | Scientific Names: Sedum album | Family: Crassulaceae
Hardy Gloxinia () | Scientific Names: Incarvillea | Family: Bignoniaceae
Hare Fern (Rabbit's Foot Fern, Squirrel Foot Fern, Deer Foot Fern, Ball Fern) | Scientific Names: Davallia spp. | Family: Polypodiaceae
Haworthia (Many cultivars) | Scientific Names: Haworthia species | Family: Liliaceae
Haws (Pirliteiro) | Scientific Names: Crataegus species | Family: Rosaceae
Haws Apple (Haws, Hawthorn) | Scientific Names: Crataegus species | Family: Rosaceae
Hawthorn (Haws, Haws Apple) | Scientific Names: Crataegus species | Family: Rosaceae
Hedgehog Gourd (Teasel Gourd) | Scientific Names: Cucumis dipsaceus | Family: Cucurbitaceae
Hellfetter (Hellfetter) | Scientific Names: Smilax hispida | Family: Liliaceae
Hemlock Tree (Many varieties) | Scientific Names: Tsuga species | Family: Pinaceae
Hen and Chickens Fern (King and queen fern, Spleenwort, Parsley fern) | Scientific Names: Asplenium bulbiferum | Family: Polypodaceae
Hens and Chickens (Chickens and Hens, Mother Hens and Chicks) | Scientific Names: Echeveria elegans | Family: Crassulaceae
Hindu Rope Plant () | Scientific Names: Hoya carnosa 'krinkle kurl' | Family: Asclepiadaceae
Holligold (Marigold, Mary Bud, Gold Bloom, Pot Marigold, Garden Marigold) | Scientific Names: Calendula officinalis | Family: Compositae
Holly Fern (Fishtail Fern) | Scientific Names: Cyrtomium falcatum | Family: Polypodaceae
Hollyhock () | Scientific Names: Althea rosea | Family: Malvaceae
Honey Locust () | Scientific Names: Gleditsia triacanthos | Family: Fabaceae
Honey Plant (Wax Plant) | Scientific Names: Hoya carnosa | Family: Asclepiadaceae
Honeydew Melon (Casaba Melon) | Scientific Names: Cucumis melo | Family: Cucurbitaceae
Honeysuckle Fuchsia () | Scientific Names: Fuchsia triphylla | Family: Onagraceae
Hookera pulchella (Wild Hyacinth, Blue-Dicks) | Scientific Names: Dichelostemma pulchellum | Family: Amaryllidaceae
Hubbard Squash () | Scientific Names: Cucurbita maxima var. hubbard | Family: Cucurbitaceae
Hypocyrta (Candy Corn Plant, Goldfish Plant) | Scientific Names: Hypocyrta nummularia | Family: Gesneriaceae
Ice Plant () | Scientific Names: Lampranthus piquet | Family: Aizoaceae
Impatience Plant (Giant Touch-Me-Not, Buzzy Lizzy, Patient Lucy, Patient Plant, Tangerine Impatience) | Scientific Names: Impatiens spp. | Family: Balsaminaceae
Irish Moss (Club Moss, Cushion Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss) | Scientific Names: Selaginella kraussiana | Family: Selaginellaceae
